driver_race,location,n_stops,county_population
Hispanic drivers,12131,210.0,2452.0
White drivers,12131,2924.0,41952.0
Black drivers,12133,529.0,3073.0
Hispanic drivers,12133,235.0,599.0
White drivers,12133,2293.0,15889.0
Black drivers,25001,615.0,3860.0
Hispanic drivers,25001,230.0,3831.0
White drivers,25001,9240.0,171664.0
Black drivers,25003,721.0,2654.0
Hispanic drivers,25003,395.0,3535.0
White drivers,25003,11344.0,99551.0
Black drivers,25005,2298.0,15598.0
Hispanic drivers,25005,1748.0,24559.0
White drivers,25005,15498.0,393594.0
Black drivers,25007,17.0,492.0
Hispanic drivers,25007,4.0,349.0
White drivers,25007,239.0,12836.0
Black drivers,25009,1962.0,17001.0
Hispanic drivers,25009,4120.0,97506.0
White drivers,25009,23707.0,473320.0
Black drivers,25011,403.0,625.0
Hispanic drivers,25011,444.0,1706.0
White drivers,25011,8954.0,55544.0
Black drivers,25013,4478.0,28127.0
Hispanic drivers,25013,7684.0,72373.0
White drivers,25013,28636.0,261023.0
Black drivers,25015,423.0,3471.0
Hispanic drivers,25015,508.0,6179.0
White drivers,25015,7093.0,117750.0
Black drivers,25017,5588.0,58809.0
Hispanic drivers,25017,5666.0,82137.0
White drivers,25017,44399.0,978696.0
Black drivers,25019,54.0,653.0
Hispanic drivers,25019,72.0,822.0
White drivers,25019,421.0,6857.0
Black drivers,25021,5167.0,33153.0
Hispanic drivers,25021,2340.0,19360.0
White drivers,25021,18774.0,443316.0
Black drivers,25023,2123.0,34042.0
Hispanic drivers,25023,877.0,12299.0
White drivers,25023,13852.0,345792.0
Black drivers,25025,10072.0,125171.0
Hispanic drivers,25025,6850.0,121507.0
White drivers,25025,38130.0,321700.0
Black drivers,25027,6196.0,24887.0
Hispanic drivers,25027,7401.0,57484.0
White drivers,25027,55461.0,533153.0
Black drivers,30001,13.0,36.0
Hispanic drivers,30001,22.0,269.0
White drivers,30001,925.0,7202.0
Black drivers,30003,35.0,26.0
Hispanic drivers,30003,51.0,384.0
White drivers,30003,1078.0,3225.0
Black drivers,30005,11.0,9.0
Hispanic drivers,30005,8.0,86.0
White drivers,30005,743.0,2511.0
Black drivers,30007,13.0,15.0
Hispanic drivers,30007,15.0,102.0
White drivers,30007,1582.0,4407.0
Black drivers,30009,8.0,36.0
Hispanic drivers,30009,202.0,178.0
White drivers,30009,964.0,8222.0
Black drivers,30013,136.0,938.0
Hispanic drivers,30013,103.0,2156.0
White drivers,30013,7570.0,57772.0
Black drivers,30015,11.0,5.0
Hispanic drivers,30015,16.0,75.0
White drivers,30015,1186.0,3642.0
Black drivers,30017,60.0,32.0
Hispanic drivers,30017,126.0,218.0
White drivers,30017,3654.0,9074.0
Black drivers,30019,2.0,4.0
Hispanic drivers,30019,1.0,25.0
White drivers,30019,231.0,1381.0
Black drivers,30021,61.0,29.0
Hispanic drivers,30021,158.0,163.0
White drivers,30021,3014.0,7072.0
Black drivers,30023,39.0,33.0
Hispanic drivers,30023,41.0,212.0
White drivers,30023,2730.0,7218.0
Black drivers,30025,0.0,4.0
Hispanic drivers,30025,5.0,35.0
White drivers,30025,129.0,2274.0
Black drivers,30027,8.0,22.0
Hispanic drivers,30027,11.0,167.0
White drivers,30027,976.0,8975.0
Black drivers,30029,26.0,222.0
Hispanic drivers,30029,67.0,1658.0
White drivers,30029,9489.0,70467.0
Black drivers,30031,79.0,304.0
Hispanic drivers,30031,153.0,2045.0
White drivers,30031,8875.0,72201.0
Black drivers,30033,4.0,2.0
Hispanic drivers,30033,1.0,7.0
White drivers,30033,271.0,1006.0
Black drivers,30035,4.0,22.0
Hispanic drivers,30035,10.0,207.0
White drivers,30035,964.0,3465.0
Black drivers,30039,8.0,12.0
Hispanic drivers,30039,14.0,41.0
White drivers,30039,674.0,2599.0
Black drivers,30041,23.0,44.0
Hispanic drivers,30041,23.0,309.0
White drivers,30041,2180.0,9464.0
Black drivers,30043,25.0,28.0
Hispanic drivers,30043,31.0,180.0
White drivers,30043,2033.0,8876.0
Black drivers,30045,12.0,2.0
Hispanic drivers,30045,11.0,24.0
White drivers,30045,774.0,1609.0
Black drivers,30047,19.0,78.0
Hispanic drivers,30047,29.0,718.0
White drivers,30047,2853.0,16269.0
Black drivers,30049,32.0,244.0
Hispanic drivers,30049,61.0,1252.0
White drivers,30049,5223.0,48907.0
Black drivers,30051,2.0,4.0
Hispanic drivers,30051,4.0,14.0
White drivers,30051,268.0,1891.0
Black drivers,30053,9.0,36.0
Hispanic drivers,30053,23.0,366.0
White drivers,30053,2412.0,15257.0
Black drivers,30055,2.0,4.0
Hispanic drivers,30055,3.0,14.0
White drivers,30055,140.0,1364.0
